"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Jacob Leverstein","1056","0","Virginias","US","5337","1","81","81","1974","58","60","4","8","2835","47","2","102690"
"2","Dylan Wilson","1056","0","California Club","US","7603","2","31","32","669","19","16","3","8","1093","18","2","67353"
"3","Jeremy Capron","1038","0","Midwest","US","5879","2","41","43","923","27","34","5","8","1481","23","2","150541"
"4","Howard Weaver","1015","0","Mid-South","US","7303","2","25","28","546","19","42","3","8","940","14","2","89416"
"5","Brandon Schmidt","994","0","Midwest","US","6383","2","80","83","1067","34","64","4","8","2905","33","2","42361"
"6","Kyle Miller","993","0","Northwest","US","3880","3","47","54","545","18","82","5","8","1847","16","3","65170"
"7","Mike McKinney","973","0","Illinois","US","5768","1","26","27","558","21","22","5","8","945","10","2","29915"
"8","Clay Debban","923","0","Northwest","US","4642","3","196","224","2693","72","250","4","8","7471","97","2","272597"
"9","Zak Rounds","908","0","Michigan","US","4538","3","33","38","469","13","38","5","8","1295","12","3","268296"
"10","Nate Chodur","861","0","Midwest","US","4803","4","37","42","151","5","34","4","8","1468","5","4","51394"
"11","Brandon Chretien","860","0","New York","US","2848","3","27","30","410","11","46","2","8","988","13","3","48807"
"12","Jordan Wesley","859","0","Mid-South","US","4006","4","34","40","96","3","100","4","8","1376","3","4","136849"
"13","Lucas Chowning","856","0","Mid-South","US","6064","4","50","61","348","8","96","5","8","2098","10","4","176074"
"14","Virgil Graham","854","0","Pennsylvania","US","5685","2","28","28","428","11","16","5","8","980","12","2","264174"
"15","Randall Carter","834","0","Mid-South","US","5119","5","20","29","98","0","24","5","8","952","5","4","290760"
"16","Garrett Niebruegge","793","0","Midwest","US","4017","5","20","30","35","1","28","4","8","975","1","5","187894"
"17","Ken Short","776","0","Mid-South","US","2473","3","15","17","203","5","18","5","8","595","7","3","253617"
"18","Shane James3","761","0","Indiana","US","6281","3","19","21","329","8","24","5","8","669","11","2","270384"
"19","Charles Cosper","758","0","Texas","US","6038","2","10","10","311","7","2","4","8","350","8","1","20867"
"20","Neil Adamzak","745","0","Midwest","US","3548","3","9","12","22","2","6","6","8","384","0","6","63540"
"21","Jesse Carr","744","0","Great Plains","US","2981","3","14","17","172","6","22","3","8","581","3","4","231510"
"22","Mike Molnar","730","0","Great Plains","US","4186","4","31","39","114","3","52","4","8","1264","6","4","77867"
