"Pos","Driver","Location","Region","Club","Starts","Wins","Avg Start","Avg Finish","Avg Pts per Race","Top 25%","Avg Field Size","Laps","Laps Lead","Avg Inc","Class","iRating","ttRating","Club Pts","Total Pts","CustId"
"1","Blake Matjoulis","US","Region 1","New York","854","533","3","2","139","722","14","31716","19687","1.31","P 4.99","9361","1350","14275","118383","273418"
"2","Dillon Semmelmann","US","Region 3","Midwest","1857","1183","2","3","135","1538","15","60376","40022","2.19","P 3.49","9110","1329","10306","250122","270914"
"3","Evan Seay","US","Region 1","Carolina","935","320","4","4","117","576","14","34052","13097","1.9","P 4.37","8868","1235","5018","109414","330143"
"4","Alex A Bergeron","CA","Region 2","Canada","1397","898","3","2","127","1211","14","46674","28271","1.52","P 4.52","8557","1377","29758","177230","246298"
"5","Zack McSwain","US","Region 1","Carolina","1030","513","3","3","131","798","14","37816","18810","1.21","P 4.47","8421","1299","4556","134695","366325"
"6","Kendal Tucker","US","Region 1","Carolina","491","226","3","4","116","338","14","17029","8522","1.93","P 3.69","8364","1259","4276","56983","268718"
"7","Dylan R. Houser","US","Region 1","Florida","2038","1088","3","3","122","1535","14","74834","40431","2.44","P 2.16","7676","1347","29916","249381","268611"
"8","Tim Ryan","AU","N/A","Australia/NZ","529","386","2","3","126","444","15","18767","15215","2.09","A 3.92","7672","1278","1816","66875","116335"
"9","Tyler Schell","US","Region 4","Pennsylvania","2782","1203","4","4","114","1949","14","88797","40536","2.44","A 2.46","7592","1329","10008","317541","287779"
"10","Dylan Wilson","US","Region 2","California Club","136","67","3","3","154","109","14","5406","2526","1.19","P 4.72","7531","1350","3685","20951","67353"
"11","Bryce Bailey","US","Region 1","New York","975","479","3","3","112","692","13","28653","15180","2.36","A 4.51","7480","1252","5226","108853","352997"
"12","Tyler D Hudson","US","Region 1","Mid-South","264","202","2","2","131","246","14","10779","7463","0.5","A 4.99","7409","1350","2006","34627","17070"
"13","James Edens","US","Region 2","California Club","676","281","4","4","120","498","15","23571","9441","1.78","P 3.62","7315","1388","14359","81091","77711"
"14","Howard Weaver","US","Region 1","Mid-South","379","218","3","3","125","307","13","14523","8091","1.51","A 4.76","7303","1350","6939","47357","89416"
"15","Cameron Merriman","US","Region 2","Ohio","778","321","4","4","127","535","16","26256","11237","2.52","P 2.63","7177","1281","3444","98511","330255"
"16","Jordan Casey","US","Region 3","Midwest","491","178","4","5","104","291","13","16209","7065","2.09","A 4.99","7146","1350","2545","50972","333265"
"17","Hayden Cardwell","US","Region 1","Mid-South","892","347","4","4","127","587","14","30137","12383","2.61","P 1.47","7127","1381","9562","113575","273744"
"18","Garrett Manes","US","N/A","Virginias","545","344","2","2","123","466","14","18241","11377","0.84","A 4.99","7067","1201","16210","67156","194770"
"19","Shaun Timmerman","US","N/A","Midwest","480","276","3","3","108","361","13","11313","6804","1.9","A 4.53","7067","1298","1423","51969","279238"
"20","Trevor Throne","US","Region 5","Illinois","752","223","4","4","113","464","14","25745","8035","2.09","A 2.33","6941","1530","5702","85057","239931"
"21","Kevin Dedmon","US","Region 1","Carolina","675","269","4","3","120","499","13","24451","8073","1.11","P 4.52","6922","1338","10499","80990","83634"
"22","Blake Nelms","US","Region 4","Northwest","762","344","3","3","97","519","12","22073","11043","1.36","A 4.99","6907","1350","7596","73938","326083"
"23","JD Brown","US","Region 2","California Club","656","215","4","4","117","397","13","22375","7391","1.31","P 4.99","6870","1350","13541","76481","253462"
"24","Chris K. McGuire","US","Region 1","Mid-South","1171","798","2","2","129","1008","13","42447","29226","0.98","A 4.73","6831","1297","3957","150696","295661"
"25","Richard Murtaugh Jr.","US","N/A","New York","1040","383","4","4","113","690","15","36374","14000","2.75","A 4.44","6677","1259","10358","117134","238367"
"26","Vinnie Sansone","US","Region 5","Illinois","784","161","5","5","110","405","14","26479","6313","2.33","A 4.55","6652","1285","20021","85956","20851"
"27","David Heileman","US","Region 3","Midwest","1063","409","4","3","119","791","15","35981","13343","2.09","A 1.46","6646","1350","14867","126607","279273"
"28","Barrett Bishop","US","Region 1","Carolina","314","158","3","3","104","222","12","10231","4911","0.93","A 4.99","6524","1350","4793","32581","275393"
"29","Tyler D. Hudson","US","N/A","Mid-South","276","117","4","3","125","213","15","10336","4142","1.15","A 4.99","6497","1350","2215","34593","261989"
"30","Braden Eyler","US","Region 4","Pennsylvania","381","121","5","5","122","234","16","12776","4185","2.77","P 2.38","6485","1438","2263","46422","306929"
"31","Nelson Webster","US","Region 2","California Club","293","123","3","4","114","213","14","9488","4287","1.47","A 4.99","6425","2104","5286","33493","271235"
"32","Tyler Ducharme","US","N/A","New England","291","47","6","5","123","155","15","11733","1701","2.85","P 2.33","6416","1341","14915","35691","124109"
"33","Mason Clark","US","Region 6","Michigan","355","115","4","4","130","229","15","13637","4386","2.17","A 2.73","6386","1311","2078","46021","249209"
"34","Brandon Schmidt","US","Region 2","Midwest","329","150","3","3","114","246","12","11043","4713","1.34","A 4.75","6383","1350","1020","37373","42361"
"35","Zach Leonhardi","US","Region 3","Georgia","381","181","3","3","121","294","14","14914","6799","1.62","P 2.39","6373","1350","9220","46006","83087"
